Name,Reference,Count,Subitems names,Status,Segment,Location,Description
Elektronikversicherung 300 SB,8ZB1FE,1,,ready,versicherung,,"Elektronikversicherung für Mietartikel mit Stecker, mit einer Selbstbeteiligung in Höhe von 300€ je Schadenfall."
Reduzierung Elektronikversicherung auf 50 SB,3UGCL1,1,,ready,versicherung,,Haftungsfreistellung. Reduzierung der Elektronikversicherung auf eine Selbstbeteiligung in Höhe von 50€ je Schadenfall.
Reduzierung Maschinenbruchversicherung auf 0 SB,7XK46Z,1,,ready,versicherung,,Haftungsfreistellung. Reduzierung der Maschinenbruchversicherung auf eine Selbstbeteiligung in Höhe von 0€ je Schadenfall.
Reduzierung Maschinenbruchversicherung auf 1000 SB,H7UJ6J,1,,ready,versicherung,,Reduzierung der Maschinenbruchversicherung auf eine Selbstbeteiligung in Höhe von 1000€ je Schadenfall.
Reduzierung Maschinenbruchversicherung auf 500 SB,QPXEU5,1,,ready,versicherung,,Reduzierung der Maschinenbruchversicherung auf eine Selbstbeteiligung in Höhe von 500€ je Schadenfall.
Vollkaskoversicherung SB 300€,8FE6XG,1,,ready,versicherung,,Erweiterung der Haftpflichtversicherung auf eine Volkaskoversicherung mit einer Selbstbeteiligung in Höhe von 300€ je Schadenfall. Diese gilt nur in Deutschland!
Vollkaskoversicherung SB 500€,YGFSCX,1,,ready,versicherung,,Erweiterung der Haftpflichtversicherung auf eine Volkaskoversicherung mit einer Selbstbeteiligung in Höhe von 500€ je Schadenfall. Diese gilt nur in Deutschland!
Maschinenbruchversicherung 1500 SB (stationär),47UAX6,1,,ready,versicherung,,Maschinenbruchversicherung für stationäre Maschinen mit einer Selbstbeteiligung in Höhe von 1500€ je Schadenfall.
Auslandsfahrt ,VZPJ49,1,,ready,versicherung,,"Für die Fahrt in das europäische Ausland. <br/>
Folgende Länder sind erlaubt: <br/>
Albanien, Andorra, Belgien, Bosnien und Herzegowina, Bulgarien, Dänemark, Deutschland, Estland, Finnland, Frankreich, Griechenland, Irland, Italien, Kosovo, Kroatien, Lettland, Liechtenstein, Litauen, Luxemburg, Malta, Moldawien, Monaco, Montenegro, Niederlande, Nordmazedonien, Norwegen, Österreich, Polen, Portugal, Rumänien, San Marino, Schweden, Schweiz, Serbien, Slowakei, Slowenien, Spanien, Tschechien, Türkei, Ungarn, Vatikanstadt, Vereinigtes Königreich."
Maschinenbruchversicherung 1500 SB (selbstfahrend),2N2EYU,1,,ready,versicherung,,Maschinenbruchversicherung für selbstfahrende Maschinen mit einer Selbstbeteiligung in Höhe von 1500€ je Schadenfall.
Kaution 100,44RCZ6,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 15,TXXSDZ,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 150,6MHNMM,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 300,O2DJ96,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 5,ZRWC23,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 50,21XQ3U,1,,ready,kaution,,Die Kaution ist bei der abholung zu hinterlegen.
Kaution 500,17U6I4,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
Kaution 750,XQ21UF,1,,ready,kaution,,"Die Mietgegenstände werden innerhalb von 3 Werktagen (in der Regel sofort nach Rückgabe, außer an 24/7-Standorten) bei uns geprüft und die Kaution anschließend zurückerstattet. <br/>
Bitte beachten Sie, dass der Geldtransfer je nach Zahlungsmethode mehrere Werktage in Anspruch nehmen kann."
1. Umbuchung,LBBB21,1,,disabled,extra,,"Gebühr für die umbuchung eines bestehenden Auftrags. <br/>
Hiermit möchten wir den potenziellen, verpassten Buchungen entgegen wirken. "
